name;nationality;position;overall;age;real_team;device
Yekta Kurtulus;Turkey;CDM|CM|CAM;67;34;Antalyaspor;2
Christian Schwegler;Switzerland;RB;66;36;FC Luzern;2
David Zibung;Switzerland;GK;63;36;FC Luzern;2
Albert Bunjaku;Kosovo;ST|LM;67;36;Fußballclub Viktoria Köln 1904 e.V.;2
Tolgahan Acar;Turkey;GK;69;34;Denizlispor;2
Serkan Kirintili;Turkey;GK;75;35;Konyaspor;2
Eren Albayrak;Turkey;LB|LM;71;29;Antalyaspor;2
Sedat Agçay;Turkey;CDM;65;38;MKE Ankaragücü;2
Oscar Wendt;Sweden;LB;76;34;Borussia Mönchengladbach;2
Leandro Greco;Italy;CDM|CM;67;34;Perugia;2
Raffael;Brazil;ST|CF;76;35;Borussia Mönchengladbach;2
David Prieto;Spain;CB;68;37;CF Fuenlabrada;2
Juande;Spain;CDM|CM;66;33;Perth Glory;2
Dorca;Spain;CDM|CM;68;37;AD Alcorcón;2
Tito;Spain;RB|LB;71;35;Rayo Vallecano;2
Seoane;Spain;CDM|CM;70;37;CD Lugo;2
Mikel Rico;Spain;CM;73;35;SD Huesca;2
David Barral;Spain;ST;65;37;Real Racing Club;2
Andrés Fernández;Spain;GK;78;33;Villarreal CF;2
Cejudo;Spain;RM|LM|CAM;69;36;Real Racing Club;2
Javi Fuego;Spain;CDM|CM;71;36;R. Sporting;2
Susaeta;Spain;RM|LM;70;35;Albacete BP;2
Jesús Navas;Spain;RB|RM;82;34;Sevilla FC;2
Santi Cazorla;Spain;CDM|LM|CM;83;35;Villarreal CF;2
Reguero;Spain;GK;64;38;HJK Helsinki;2
Dani Giménez;Spain;GK;72;36;RC Deportivo;2
Diego López;Spain;GK;79;38;RCD Espanyol;2
Soldado;Spain;ST;76;35;Granada CF;2
Vesga;Spain;CM;74;27;Athletic Club;2
Iván Cuéllar;Spain;GK;77;36;CD Leganés;2
Javier Pinola;Argentina;CB;77;37;River Plate;2
Iñaki Astiz;Spain;CB;64;36;Legia Warszawa;2
Rubén;Spain;GK;73;36;CA Osasuna;2
Diego Castro;Spain;CAM|LW;76;38;Perth Glory;2
Cosmin Frasinescu;Romania;CB;65;35;Fotbal Club Politehnica Ia?i;2
Marius Constantin;Romania;CB;69;35;Clubul Sportiv Gaz Metan Media?;2
Razvan Ple?ca;Romania;GK;68;37;Clubul Sportiv Gaz Metan Media?;2
Igor Akinfeev;Russia;GK;80;34;PFC CSKA Moscow;2
Artem Rebrov;Russia;GK;71;36;Spartak Moscow;2
Andrei Cristea;Romania;ST;68;36;Fotbal Club Politehnica Ia?i;2
Luíz Carlos;Brazil;CDM;69;35;FC Paços de Ferreira;2
Arkadiusz Malarz;Poland;GK;68;40;LKS Lódz;2
Pawel Kieszek;Poland;GK;75;36;Rio Ave FC;2
Marcin Wasilewski;Poland;CB;68;40;Wisla Kraków;2
Ali Al Habsi;Oman;GK;68;38;West Bromwich Albion;2
Espen Ruud;Norway;RB;69;36;Odds BK;2
Iven Austbø;Norway;GK;66;35;Viking FK;2
Klaas-Jan Huntelaar;Netherlands;ST;75;36;Ajax;2
Cristian Molinaro;Italy;LB|LM;69;36;Venezia;2
Christian Maggio;Italy;RB;73;38;Benevento;2
Francesco Magnanelli;Italy;CDM;74;35;Sassuolo;2
Alex Cordaz;Italy;GK;72;37;Crotone;2
Valeri Bojinov;Bulgaria;ST;69;34;Pescara;2
Antonio Rosati;Italy;GK;69;37;Torino;2
Mirko Stefani;Italy;CB;67;36;Pordenone;2
Alan Bennett;Republic of Ireland;CB;57;38;Cork City;2
Gary Rogers;Republic of Ireland;GK;63;38;Dundalk;2
Wes Hoolahan;Republic of Ireland;RM|CAM;68;38;Newcastle Jets;2
Daryl Murphy;Republic of Ireland;ST;67;37;Bolton Wanderers;2
Avraam Papadopoulos;Greece;CB;69;35;Olympiacos CFP;2
Mario Gómez;Germany;ST;74;35;VfB Stuttgart;2
Romain Salin;France;GK;72;36;Stade Rennais FC;2
Lukas Podolski;Germany;ST|CAM|RW;74;35;Antalyaspor;2
Vincent Demarconnay;France;GK;70;37;Paris FC;2
Joe Hart;England;GK;75;33;Burnley;2
Markus Halsti;Finland;CB;67;36;Esbjerg fB;2
Boris Rotenberg;Finland;RWB|RB|RW;61;34;Lokomotiv Moscow;2
James Coppinger;England;CAM|LW;67;39;Doncaster Rovers;2
Steven Davis;Northern Ireland;CDM|CM;74;35;Rangers FC;2
Johan Absalonsen;Denmark;RM|LM|LW;65;34;SønderjyskE;2
Philipp Netzer;Austria;CB;66;34;SCR Altach;2
Ramazan Özcan;Austria;GK;73;36;Bayer 04 Leverkusen;2
Gareth Evans;England;CAM;65;32;Portsmouth;2
Scott Brown;England;GK;65;35;Port Vale;2
Mattias Moström;Sweden;RM|LM;61;37;Molde FK;2
John White;England;CB;63;34;Southend United;2
Scott Flinders;England;GK;63;34;Cheltenham Town;2
Bradley Johnson;England;CDM|CM;69;33;Blackburn Rovers;2
Gaël Clichy;France;LB;76;35;Medipol Basaksehir FK;2
Alexander Tettey;Norway;CDM;71;34;Norwich City;2
Johan Lædre Bjørdal;Norway;CB;66;34;Vålerenga Fotball;2
Ricardo Vaz Tê;Portugal;ST;72;33;Portimonense SC;2
Piqué;Spain;CB;88;33;FC Barcelona;2
Aaron Lennon;England;RM|LM;73;33;Burnley;2
Felipe Saad;Brazil;CB;66;36;Paris FC;2
Mark Noble;England;CDM|CM;76;33;West Ham United;2
Ashley Young;England;RB|RM|LM;75;35;Inter;2
José Sand;Argentina;ST;76;40;Club Atlético Lanús;2
Rubens Sambueza;Argentina;CDM|RM|CM;75;36;Pachuca;2
Edgar Barreto;Paraguay;CM;71;36;Sampdoria;2
Mariusz Pawelec;Poland;RB|LB|CB;64;34;Slask Wroclaw;2
Dean Marney;England;CM;64;36;Fleetwood Town;2
