name;nationality;position;overall;age;real_team;device
Albert Bunjaku;Kosovo;ST|LM;67;36;Fußballclub Viktoria Köln 1904 e.V.;Playstation
Tolgahan Acar;Turkey;GK;69;34;Denizlispor;Playstation
Serkan Kirintili;Turkey;GK;75;35;Konyaspor;Playstation
Eren Albayrak;Turkey;LB|LM;71;29;Antalyaspor;Playstation
Sedat Agçay;Turkey;CDM;65;38;MKE Ankaragücü;Playstation
Oscar Wendt;Sweden;LB;76;34;Borussia Mönchengladbach;Playstation
Leandro Greco;Italy;CDM|CM;67;34;Perugia;Playstation
Raffael;Brazil;ST|CF;76;35;Borussia Mönchengladbach;Playstation
David Prieto;Spain;CB;68;37;CF Fuenlabrada;Playstation
Juande;Spain;CDM|CM;66;33;Perth Glory;Playstation
Dorca;Spain;CDM|CM;68;37;AD Alcorcón;Playstation
Tito;Spain;RB|LB;71;35;Rayo Vallecano;Playstation
Seoane;Spain;CDM|CM;70;37;CD Lugo;Playstation
Mikel Rico;Spain;CM;73;35;SD Huesca;Playstation
David Barral;Spain;ST;65;37;Real Racing Club;Playstation
Andrés Fernández;Spain;GK;78;33;Villarreal CF;Playstation
Cejudo;Spain;RM|LM|CAM;69;36;Real Racing Club;Playstation
Javi Fuego;Spain;CDM|CM;71;36;R. Sporting;Playstation
Susaeta;Spain;RM|LM;70;35;Albacete BP;Playstation
Jesús Navas;Spain;RB|RM;82;34;Sevilla FC;Playstation
Santi Cazorla;Spain;CDM|LM|CM;83;35;Villarreal CF;Playstation
Reguero;Spain;GK;64;38;HJK Helsinki;Playstation
Dani Giménez;Spain;GK;72;36;RC Deportivo;Playstation
Diego López;Spain;GK;79;38;RCD Espanyol;Playstation
Soldado;Spain;ST;76;35;Granada CF;Playstation
Vesga;Spain;CM;74;27;Athletic Club;Playstation
Iván Cuéllar;Spain;GK;77;36;CD Leganés;Playstation
Javier Pinola;Argentina;CB;77;37;River Plate;Playstation
Iñaki Astiz;Spain;CB;64;36;Legia Warszawa;Playstation
Rubén;Spain;GK;73;36;CA Osasuna;Playstation
Diego Castro;Spain;CAM|LW;76;38;Perth Glory;Playstation
Cosmin Frasinescu;Romania;CB;65;35;Fotbal Club Politehnica Ia?i;Playstation
Marius Constantin;Romania;CB;69;35;Clubul Sportiv Gaz Metan Media?;Playstation
Razvan Ple?ca;Romania;GK;68;37;Clubul Sportiv Gaz Metan Media?;Playstation
Igor Akinfeev;Russia;GK;80;34;PFC CSKA Moscow;Playstation
Artem Rebrov;Russia;GK;71;36;Spartak Moscow;Playstation
Andrei Cristea;Romania;ST;68;36;Fotbal Club Politehnica Ia?i;Playstation
Luíz Carlos;Brazil;CDM;69;35;FC Paços de Ferreira;Playstation
Arkadiusz Malarz;Poland;GK;68;40;LKS Lódz;Playstation
Pawel Kieszek;Poland;GK;75;36;Rio Ave FC;Playstation
Marcin Wasilewski;Poland;CB;68;40;Wisla Kraków;Playstation
Ali Al Habsi;Oman;GK;68;38;West Bromwich Albion;Playstation
Espen Ruud;Norway;RB;69;36;Odds BK;Playstation
Iven Austbø;Norway;GK;66;35;Viking FK;Playstation
Klaas-Jan Huntelaar;Netherlands;ST;75;36;Ajax;Playstation
Cristian Molinaro;Italy;LB|LM;69;36;Venezia;Playstation
Christian Maggio;Italy;RB;73;38;Benevento;Playstation
Francesco Magnanelli;Italy;CDM;74;35;Sassuolo;Playstation
Alex Cordaz;Italy;GK;72;37;Crotone;Playstation
Valeri Bojinov;Bulgaria;ST;69;34;Pescara;Playstation
Antonio Rosati;Italy;GK;69;37;Torino;Playstation
Mirko Stefani;Italy;CB;67;36;Pordenone;Playstation
Alan Bennett;Republic of Ireland;CB;57;38;Cork City;Playstation
Gary Rogers;Republic of Ireland;GK;63;38;Dundalk;Playstation
Wes Hoolahan;Republic of Ireland;RM|CAM;68;38;Newcastle Jets;Playstation
Daryl Murphy;Republic of Ireland;ST;67;37;Bolton Wanderers;Playstation
Avraam Papadopoulos;Greece;CB;69;35;Olympiacos CFP;Playstation
Mario Gómez;Germany;ST;74;35;VfB Stuttgart;Playstation
Romain Salin;France;GK;72;36;Stade Rennais FC;Playstation
Lukas Podolski;Germany;ST|CAM|RW;74;35;Antalyaspor;Playstation
Vincent Demarconnay;France;GK;70;37;Paris FC;Playstation
Joe Hart;England;GK;75;33;Burnley;Playstation
Markus Halsti;Finland;CB;67;36;Esbjerg fB;Playstation
Boris Rotenberg;Finland;RWB|RB|RW;61;34;Lokomotiv Moscow;Playstation
James Coppinger;England;CAM|LW;67;39;Doncaster Rovers;Playstation
Steven Davis;Northern Ireland;CDM|CM;74;35;Rangers FC;Playstation
Johan Absalonsen;Denmark;RM|LM|LW;65;34;SønderjyskE;Playstation
Philipp Netzer;Austria;CB;66;34;SCR Altach;Playstation
Ramazan Özcan;Austria;GK;73;36;Bayer 04 Leverkusen;Playstation
Gareth Evans;England;CAM;65;32;Portsmouth;Playstation
Scott Brown;England;GK;65;35;Port Vale;Playstation
Mattias Moström;Sweden;RM|LM;61;37;Molde FK;Playstation
John White;England;CB;63;34;Southend United;Playstation
Scott Flinders;England;GK;63;34;Cheltenham Town;Playstation
Bradley Johnson;England;CDM|CM;69;33;Blackburn Rovers;Playstation
Gaël Clichy;France;LB;76;35;Medipol Basaksehir FK;Playstation
Alexander Tettey;Norway;CDM;71;34;Norwich City;Playstation
Johan Lædre Bjørdal;Norway;CB;66;34;Vålerenga Fotball;Playstation
Ricardo Vaz Tê;Portugal;ST;72;33;Portimonense SC;Playstation
Piqué;Spain;CB;88;33;FC Barcelona;Playstation
Aaron Lennon;England;RM|LM;73;33;Burnley;Playstation
Felipe Saad;Brazil;CB;66;36;Paris FC;Playstation
Mark Noble;England;CDM|CM;76;33;West Ham United;Playstation
Ashley Young;England;RB|RM|LM;75;35;Inter;Playstation
José Sand;Argentina;ST;76;40;Club Atlético Lanús;Playstation
Rubens Sambueza;Argentina;CDM|RM|CM;75;36;Pachuca;Playstation
Edgar Barreto;Paraguay;CM;71;36;Sampdoria;Playstation
Mariusz Pawelec;Poland;RB|LB|CB;64;34;Slask Wroclaw;Playstation
Dean Marney;England;CM;64;36;Fleetwood Town;Playstation
Renato Civelli;Argentina;CB;73;36;Club Atlético Banfield;Playstation
Per Ciljan Skjelbred;Norway;CDM|CM;76;33;Hertha BSC;Playstation
Darío Cvitanich;Argentina;ST;76;36;Racing Club;Playstation
Rodrigo Palacio;Argentina;ST|CAM;76;38;Bologna;Playstation
Magnus Wolff Eikrem;Norway;CM|CAM;75;29;Molde FK;Playstation
Juan Insaurralde;Argentina;CB;73;35;Colo-Colo;Playstation
Víctor Figueroa;Argentina;LM|CAM;62;36;Sociedad Deportiva Aucas;Playstation
Lucas Licht;Argentina;LB|LWB|LM|LW;69;39;Gimnasia y Esgrima La Plata;Playstation
Sergio Agüero;Argentina;ST;90;32;Manchester City;Playstation
Mauro Zárate;Argentina;ST|CAM|CF;77;33;Boca Juniors;Playstation
Hernán Pellerano;Argentina;CB;65;36;FBC Melgar;Playstation
André-Pierre Gignac;France;ST|CF;81;34;Tigres U.A.N.L.;Playstation
Hilton;Brazil;CB;79;42;Montpellier Hérault SC;Playstation
Jean-Louis Leca;France;GK;73;34;Racing Club de Lens;Playstation
Àngel Rangel;Spain;RB;68;37;Queens Park Rangers;Playstation
Jorge Molina;Spain;ST;80;38;Getafe CF;Playstation
Cezary Stefanczyk;Poland;RB;62;36;Wisla Plock;Playstation
Mihai Roman;Romania;RB|RM;66;35;Fotbal Club Boto?ani;Playstation
