name;nationality;position;overall;age;real_team;device
Enrique Bologna;Argentina;GK;71;38;River Plate;PC
Jesús Dátolo;Argentina;CM|CAM;75;36;Club Atlético Banfield;PC
Carlos Tévez;Argentina;ST|CAM;78;36;Boca Juniors;PC
Gustavo Lorenzetti;Chile;CM|CAM;69;35;Deportes Iquique;PC
Emiliano Papa;Argentina;LB;70;38;Arsenal de Sarandí;PC
Alejandro Gómez;Argentina;ST|CAM|CF;86;32;Atalanta;PC
José Sosa;Argentina;CDM|CM;80;35;Trabzonspor;PC
Fernando Belluschi;Argentina;CM|CAM;73;36;Club Atlético Lanús;PC
Luciano Pocrnjic;Argentina;GK;71;38;Club Atlético Aldosivi;PC
Gökhan Gönül;Turkey;RB;74;35;Besiktas JK;PC
Arda Turan;Turkey;LM|CM;76;33;FC Barcelona;PC
Ferhat Öztorun;Turkey;LB;68;33;Konyaspor;PC
Muhammet Demir;Turkey;ST|CAM;71;28;Gazisehir Gaziantep Futbol Kulübü;PC
Yekta Kurtulus;Turkey;CDM|CM|CAM;67;34;Antalyaspor;PC
Christian Schwegler;Switzerland;RB;66;36;FC Luzern;PC
David Zibung;Switzerland;GK;63;36;FC Luzern;PC
Albert Bunjaku;Kosovo;ST|LM;67;36;Fußballclub Viktoria Köln 1904 e.V.;PC
Tolgahan Acar;Turkey;GK;69;34;Denizlispor;PC
Serkan Kirintili;Turkey;GK;75;35;Konyaspor;PC
Eren Albayrak;Turkey;LB|LM;71;29;Antalyaspor;PC
Sedat Agçay;Turkey;CDM;65;38;MKE Ankaragücü;PC
Oscar Wendt;Sweden;LB;76;34;Borussia Mönchengladbach;PC
Leandro Greco;Italy;CDM|CM;67;34;Perugia;PC
Raffael;Brazil;ST|CF;76;35;Borussia Mönchengladbach;PC
David Prieto;Spain;CB;68;37;CF Fuenlabrada;PC
Juande;Spain;CDM|CM;66;33;Perth Glory;PC
Dorca;Spain;CDM|CM;68;37;AD Alcorcón;PC
Tito;Spain;RB|LB;71;35;Rayo Vallecano;PC
Seoane;Spain;CDM|CM;70;37;CD Lugo;PC
Mikel Rico;Spain;CM;73;35;SD Huesca;PC
David Barral;Spain;ST;65;37;Real Racing Club;PC
Andrés Fernández;Spain;GK;78;33;Villarreal CF;PC
Cejudo;Spain;RM|LM|CAM;69;36;Real Racing Club;PC
Javi Fuego;Spain;CDM|CM;71;36;R. Sporting;PC
Susaeta;Spain;RM|LM;70;35;Albacete BP;PC
Jesús Navas;Spain;RB|RM;82;34;Sevilla FC;PC
Santi Cazorla;Spain;CDM|LM|CM;83;35;Villarreal CF;PC
Reguero;Spain;GK;64;38;HJK Helsinki;PC
Dani Giménez;Spain;GK;72;36;RC Deportivo;PC
Diego López;Spain;GK;79;38;RCD Espanyol;PC
Soldado;Spain;ST;76;35;Granada CF;PC
Vesga;Spain;CM;74;27;Athletic Club;PC
Iván Cuéllar;Spain;GK;77;36;CD Leganés;PC
Javier Pinola;Argentina;CB;77;37;River Plate;PC
Iñaki Astiz;Spain;CB;64;36;Legia Warszawa;PC
Rubén;Spain;GK;73;36;CA Osasuna;PC
Diego Castro;Spain;CAM|LW;76;38;Perth Glory;PC
Cosmin Frasinescu;Romania;CB;65;35;Fotbal Club Politehnica Ia?i;PC
Marius Constantin;Romania;CB;69;35;Clubul Sportiv Gaz Metan Media?;PC
Razvan Ple?ca;Romania;GK;68;37;Clubul Sportiv Gaz Metan Media?;PC
Igor Akinfeev;Russia;GK;80;34;PFC CSKA Moscow;PC
Artem Rebrov;Russia;GK;71;36;Spartak Moscow;PC
Andrei Cristea;Romania;ST;68;36;Fotbal Club Politehnica Ia?i;PC
Luíz Carlos;Brazil;CDM;69;35;FC Paços de Ferreira;PC
Arkadiusz Malarz;Poland;GK;68;40;LKS Lódz;PC
Pawel Kieszek;Poland;GK;75;36;Rio Ave FC;PC
Marcin Wasilewski;Poland;CB;68;40;Wisla Kraków;PC
