name;nationality;position;overall;age;real_team;device
Razvan Andronic;Romania;ST|RM;59;20;CFR Cluj;3
Catalin Golofca;Romania;RW|LW;70;30;CFR Cluj;3
Andrei Vlad;Romania;GK;67;21;Fotbal Club FCSB;3
Bogdan Planic;Serbia;CB;72;28;Fotbal Club FCSB;3
Iulian Cristea;Romania;CB|CDM;69;26;Fotbal Club FCSB;3
Marko Momcilovic;Serbia;LB|CB|LM;66;33;Fotbal Club FCSB;3
Lucian Filip;Romania;LB|CB|CDM;68;29;Fotbal Club FCSB;3
Victor Rîmniceanu;Romania;GK;63;30;Fotbal Club Voluntari;3
Razvan Gradinaru;Romania;RB|RM|CAM;64;24;Fotbal Club Politehnica Ia?i;3
Adrian Rus;Romania;CB|CDM;66;24;Free Agents;3
Florin ?tefan;Romania;LB|LM;68;24;Sepsi OSK Sfântu Gheorghe;3
Calin Popescu;Romania;RM|CM;57;18;Sepsi OSK Sfântu Gheorghe;3
Gabriel Va?vari;Romania;CDM|CM;68;33;Sepsi OSK Sfântu Gheorghe;3
Andrei Sîntean;Romania;ST|RM;58;21;Asocia?ia Fotbal Club Hermannstadt;3
Claudiu Petrila;Romania;RW|LW;61;19;CFR Cluj;3
Roberto Carlos Fernández;Bolivia;LB;61;21;Club Bolívar;3
Santiago Arzamendia;Paraguay;LB;68;22;Free Agents;3
Lauren?iu Popescu;Romania;GK;62;23;U Craiova 1948 Club Sportiv;3
Ovidiu Bic;Romania;CDM|CM;65;26;AFC Chindia Târgovi?te;3
Stephan Draghici;Romania;RM|LM;65;22;Clubul Sportiv Gaz Metan Media?;3
Valentin Mihaila;Romania;LW;69;20;U Craiova 1948 Club Sportiv;3
Cristi Barbu?;Romania;RW;68;25;U Craiova 1948 Club Sportiv;3
Raoul Baicu;Romania;ST|RM|LW;57;20;Asocia?ia Fotbal Club Astra Giurgiu;3
Moha;Morocco;RM|LM;68;21;CD Numancia;3
Javi Navarro;Spain;LM|LW;64;23;SD Ponferradina;3
Denis Rusu;Moldova;GK;66;29;Fotbal Club Politehnica Ia?i;3
?tefan Târnovanu;Romania;GK;60;20;Fotbal Club Politehnica Ia?i;3
Marius Mihalache;Romania;CB|CDM;63;35;Fotbal Club Politehnica Ia?i;3
Ionu? Pan?îru;Romania;LB|LM;69;24;Fotbal Club FCSB;3
Andrei Sin;Romania;LB;67;28;Fotbal Club Dinamo Bucure?ti;3
David Lazar;Romania;GK;68;28;Asocia?ia Fotbal Club Astra Giurgiu;3
Constantin Dima;Romania;LB|CB;65;21;Asocia?ia Fotbal Club Astra Giurgiu;3
Risto Radunovic;Montenegro;LB|LM;70;28;Asocia?ia Fotbal Club Astra Giurgiu;3
Andrei Tru?escu;Romania;LB;60;21;Asocia?ia Fotbal Club Astra Giurgiu;3
Claudiu Belu-Iordache;Romania;RB|RM;65;26;Fotbal Club Voluntari;3
Filip Mrzljak;Croatia;CDM;68;27;Fotbal Club Dinamo Bucure?ti;3
Nelu? Ro?u;Romania;CDM|CM;67;27;Clubul Sportiv Gaz Metan Media?;3
Romário Pires;Brazil;CDM|CM;66;31;Asocia?ia Fotbal Club Hermannstadt;3
Ionu? Biceanu;Romania;CDM|CM;64;26;Asocia?ia Fotbal Club Astra Giurgiu;3
Árpád Tordai;Romania;GK;61;23;Fotbal Club Viitorul Constan?a;3
Virgil Ghi?a;Romania;CB;68;22;Fotbal Club Viitorul Constan?a;3
Bradley de Nooijer;Netherlands;LB;68;22;Fotbal Club Viitorul Constan?a;3
Radu Boboc;Romania;RB|LB;67;21;Fotbal Club Viitorul Constan?a;3
Paul Iacob;Romania;CB|CDM;67;24;Fotbal Club Viitorul Constan?a;3
Andrei Artean;Romania;CB|CDM|CM;67;26;Fotbal Club Viitorul Constan?a;3
Ionut Vîna;Romania;CM|CAM|RW;67;25;Fotbal Club FCSB;3
Alexandru Ma?an;Romania;LM|CAM|LW;67;20;Fotbal Club Voluntari;3
Carlo Casap;Romania;CM;62;21;Fotbal Club Viitorul Constan?a;3
Andrei Ciobanu;Romania;CM;66;22;Fotbal Club Viitorul Constan?a;3
Alexi Pitu;Romania;LW;60;18;Fotbal Club Viitorul Constan?a;3
George Ganea;Romania;ST|LW;64;21;Fotbal Club Viitorul Constan?a;3
